[信息] 2022-09-27 13:34:52.763 thread:[017] 链接成功
[信息] 2022-09-27 13:34:53.760 thread:[001] 初始化完成
[错误] 2022-09-27 13:34:54.789 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:35:55.203 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:35:58.223 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:36:01.242 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:36:04.257 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:36:07.285 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:36:10.297 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:36:13.314 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:36:16.340 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:36:19.370 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:36:22.400 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:36:25.424 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:36:28.441 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:36:31.466 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:36:34.485 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:36:37.513 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:36:40.535 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:36:43.558 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:36:46.589 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:36:49.619 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:36:52.653 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:36:55.676 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:36:58.703 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:37:01.719 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:37:04.758 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:37:07.778 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:37:10.799 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:37:13.834 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:37:16.853 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:37:19.875 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:37:22.903 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:37:25.928 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:37:28.936 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:37:31.952 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:37:34.970 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:37:37.989 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:37:41.020 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:37:44.033 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:37:47.058 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:37:50.081 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:37:53.110 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:37:56.122 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:37:59.154 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:38:02.175 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:38:05.206 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:38:08.225 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:38:11.247 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:38:14.280 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:38:17.305 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:38:20.327 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:38:23.344 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:38:26.367 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:38:29.381 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:38:32.399 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:38:35.420 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:38:38.437 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:38:41.469 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:38:44.491 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:38:47.515 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:38:50.534 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:38:53.561 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:38:56.579 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:38:59.604 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:39:02.624 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:39:05.641 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:39:08.667 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:39:11.683 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:39:14.698 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:39:17.715 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:39:20.733 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:39:23.754 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:39:26.766 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:39:29.782 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:39:32.795 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:39:35.803 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:39:38.829 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:39:41.857 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:39:44.876 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[信息] 2022-09-27 13:39:47.474 thread:[010] 127.0.0.1:9600:S1
[信息] 2022-09-27 13:39:47.873 thread:[010] 127.0.0.1:9600:22
[错误] 2022-09-27 13:39:47.895 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:39:50.919 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:39:53.938 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:39:56.956 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:39:59.985 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:40:03.004 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
